question_type,question,answer
Food & Payment,Can we bring food/drink for a walk-in with jump pass?,We do not allow outside food or drinks at our facility for a walk-in.
Safety & Rules,Do you allow jumpers with hard cast or injuries?,"No, for safety reasons, injured individuals or those with hard cast are not allowed to participate."
Safety & Rules,Do you allow backflips?,"No. Running, double bouncing, double flips, gainers, and diving are strictly prohibited."
General,How old do you have to be to work here?,We start hiring at the age of 16
General,Can I bring in a cake?,No outside food or drinks are permitted in the park unless you have booked the appropriate party package and have been informed that the outside food or drink fee has been waived.
Internet Facilities,Do you have Wi-Fi?,Yes! Free Wi-Fi is available.
General,Can I bring a pizza in there to eat while my kids are jumping?,"No, no outside food or drinks are permitted in the park"
General,Can I switch my membership to another kid?,"No, once a membership is assigned to an individual, it is permanently attached to that person; you will need to either cancel that membership and purchase a new one, or simply purchase an additional membership."
General,Does my membership work for glow?,Only the elite membership is valid for glow
General,When will my membership expire?,Your membership does not automatically expire; you must provide written notice requesting cancellation in order to have your membership terminated.
General,I canceled my membership yesterday and they charged me again today?,You must allow 7 business days for your membership to be officially canceled; refunds cannot be issued before this process is complete.
General,Can i jump with my child for free if they have a membership?,"No, however, we offer a parent add-on option for the Elite Membership at a reduced price."
General,Will there be dodgeball?,Dodgeball is not guaranteed with your jump ticket purchase; a minimum of six jumpers willing to participate is required for the dodgeball court to open.
General,Can I wear socks from another place?,"No, you must wear Sky Zone jump socks; this is for your safety and liability purposes, as we can only vouch for the quality and durability of Sky Zone socks."
General,Can I drop my kids off and leave?,"Technically yes, but we don’t recommend it. Our court monitors are solely responsible for attending to active jumpers, and if your child decides to leave the park, we will not try to stop them."
Glow Night & Little Leapers,How old must a child be to participate in Glow?,3 years old and above
Glow Night & Little Leapers,How old must a child be for Little Leapers?,6 years old and under.
Glow Night & Little Leapers,Do you require Glow Shirts for Glow Night?,A glow shirt is required to participate in Glow
General,Can I reuse my Sky Zone Socks?,"Yes, if they are in good condition and properly washed."
General,Can we use tickets at any SkyZone?,"No, tickets are site specifc. You can only use the tickets at the park from where you purchase those tickets."
General,What attractions are available at Sky Zone?,"Freestyle Jump, SkySlam, Ultimate Dodgeball, Foam Zone, Drop Zone, Toddler Zone, Aircourt"
Safety & Rules,Do you allow jumpers with hard cast or injuries?,"No, for safety reasons, injured individuals or those with hard cast are not allowed to participate."
Safety & Rules,Do you allow backflips?,"No. Running, double bouncing, double flips, gainers, and diving are strictly prohibited."
Venue & Facilities,Do you offer food?,"Yes, a cafeteria is available inside the facility."
Venue & Facilities,What is the age limit?,All ages are welcome!
Attractions,Can we use membership at any SkyZone?,"No, memberships are location specfic. You can only use membership at the park where you sign up."
General,Do you offer military or first responder discounts?,20% discount on jump tickets and party packages for all military and first responders.
