question_type,question,answer
gift cards purchasing,Can gift card purchased from Park?,"Gift Cards are purchased online. 
We do not have physical cards at the park."
General,Do you offer free service water?,Yes! We provide free pitchers of water.
General,Do you have a freezer?,A refrigerator is available to store cakes or ice cream cakes for parties.
General,Do you have Wi-Fi?,Yes! Free Wi-Fi is available.
General,Do you provide candles?,We do not provide candles
General,Do you offer military or first responder discounts?,Yes! 10% discount for military personnel and first responders. Discounts apply to tickets and parties. Must be redeemed at the front desk with valid ID.
General,Do you have promotions?,"15% off weekday parties (Mon-Thurs): Use code 10-B-DAY-WEEK. Thursday Family Fun Pack (in-app only): 4 standard passes, 1 large cheese pizza, and a fountain pitcher for $75."
General,Can we use membership at any SkyZone?,"No, memberships are location specfic. You can only use membership at the park where you sign up."
General,Do you offer gift cards?,"Yes, digital gift cards are available for purchase online. Physical gift cards are not available."
General,Can we use tickets at any SkyZone?,"No, tickets are site specifc. You can only use the tickets at the park from where you purchase those tickets."
General,Do Minors have to be supervised by adults during open Jump times?,"No, if minors are fourteen and above and their waivers have been signed then they can be left unattended at Sky Zone for Open Jump times. However, Minors that are seventeen or under have to be supervised by a parent or a legal guardian during Glow events."
Venue & Facilities,Do you have lockers?,6 dollars
Venue & Facilities,Do you offer food?,"Yes, a cafeteria is available inside the facility."
Venue & Facilities,How many tables are available at the venue?,"Four (4) tables, each 6 feet by 4 feet in size"
Venue & Facilities,What is the age limit?,All ages are welcome!
Glow Night & Little Leapers,How old must a child be to participate in Glow?,6 years old and below.
Glow Night & Little Leapers,How old must a child be for Little Leapers?,5 years old and under.
Glow Night & Little Leapers,Do you require Glow Shirts for Glow Night?,"Glow shirts not required — guests can wear neon pink, green, or white (but not orange)."
Glow Night & Little Leapers,How much does a Glow T-Shirt cost?,Ten dollars per shirt.
Glow Night & Little Leapers,How much do Sky Zone Socks cost?,Five dollars per pair.
Glow Night & Little Leapers,What are VIP Passes?,90-minute return tickets.
Glow Night & Little Leapers,Can I reuse my Sky Zone Socks?,"Yes, if they are in good condition and properly washed."
Food & Payment,What outside food and drinks can we bring?,There will be a $50 fee to bring outside food and drinks All outside food must be pre-packaged or store-bought. Customers with passes can purchase food in Fuel zone and are not allowed to bring outside food or drinks. Home-cooked food is not allowed. Only store-bought and prepackaged food is permitted.
Food & Payment,Do you accept cash or card payments?,"Yes, we accept cash, credit/debit cards, Apple Pay, and Google Pay."
Food & Payment,Can we bring food/drink for a walk-in with jump pass?,We do not allow outside food or drinks at our facility for a walk-in.
Safety & Rules,Do you allow jumpers with hard cast or injuries?,"No, for safety reasons, injured individuals or those with hard cast are not allowed to participate."
Safety & Rules,Do you allow backflips?,"No. Running, double bouncing, double flips, gainers, and diving are strictly prohibited."
Attractions,What attractions are available at Sky Zone?,"Sky Joust, Sky Slam, Ultimate Dodgeball, Drop Zone, Free style Jump, and Toddler Zone."
Attractions,Is there a Rock-Climbing Wall?,The Rock-Climbing Wall attraction is no longer available in Sky Zone Elk Grove.
Rocking Jump Cards,"Are you accepting Rockin’ Jump Pass, Rockin’ Jump Punch Card, or Rockin’ Jump Gift Card.","Sorry for Moorestown we are not accepting any Rockin’ Jump Pass, Rockin’ Jump Punch Card, or Rockin’ Jump Gift Card."
Group Booking,When can i book group events?,Group events can be booked Monday-Thursday at any time and Fridays from 11am-3pm
