Location,policy_type,details
Edmond,jumping policy,"All jumpers in your party must have a valid Sky Zone Las Vegas waiver, wristband, Sky Socks"
Edmond,glow package policy,"NO DROP OFFS for minors 17 yrs and below, PARENTS MUST BE PRESENT TO ENTER AND STAY THE FULL 2 HOURS OF GLOW."
Edmond,Birthday Party Cancellation Policy,You will receive a full refund in the form of a Sky Zone Gift Card as long as you cancel at least 7 days priors to your booking date.
Edmond,Birthday Party Decoration Policy,"You are permitted to bring whatever you would like to decorate your party room, however we do ask that nothing Pinatas, Glitter, Silly String, Confetti are not permitted. We allow balloons (weighted), tablecloths. Please avoid bringing anything that tapes/sticks to the walls."
Edmond,Birthday Party Booking Policy,A minimum deposit of mininum 100 dollars is required to complete your booking. Deposits for last minute parties (within 7 days) are non-refundable.
Edmond,All Day Pass Check-in Check-out Policy,"The All-Day Pass provides unlimited jump time; however, you must stay at 
the location to use it continuously. If you check out, you will not be 
allowed to re-enter using the same pass."
Edmond,"Epic Party Package and Basic Party Package
Maximum Guests and Jumpers Policy","The Epic party package and Basic party package allow up to 50 total guests, 
with a maximum of 30 jumpers included.
"
Edmond,Mega VIP package Maximum Jumpers Policy,The Mega VIP package allows up to 45 jumpers.
Edmond,Birthday Party Rescheduling Policy,Parties get 1 free reschedule as long as they notify us more than 7 days in advance. typically if the Guest of Honour is sick we will go ahead and proceed with the reschedule. we charge $200 reschedule fee when guest is just wanting to move the date only due to other reason (e.g guest decided last minute that they couldn't make it. etc.)
Edmond,Membership cancellation policy,"MEMBERSHIP CANCELLATION MUST BE SUBMITTED THROUGH THE MEMBERSHIP PORTAL. THEY HAVE TO CANCEL MEMBERSHIP 3 DAYS BEFORE BILLING DATE. 
"
Edmond,Glow session glow t-shirt policy,"Glow shirts not required — guests can wear neon pink, green, or white (but not orange)."
