Location,policy_type,details
Moorestown,jumping policy,"All jumpers in your party must have a valid Sky Zone Las Vegas waiver, wristband, Sky Socks"
Moorestown,glow package policy,"NO DROP OFFS for minors 17 yrs and below, PARENTS MUST BE PRESENT TO ENTER AND STAY THE FULL 2 HOURS OF GLOW."
Moorestown,Birthday Party Cancellation Policy,"If you cancel your party more than 7 days in advance, you will get a refund of any deposit you have put down. Cancelling 7 days or less before the day of the party means you forfeit any deposits put down on the event."
Moorestown,Birthday Party Decoration Policy,"PARTY ROOM DECORATIONS

You are permitted to bring your own decorations for the party room. 
However, please note: pinatas, glitter, silly string, and confetti are not permitted. 
Balloons with weights are allowed, as well as tablecloths. 
Your party host will help you set up decorations 15 minutes before your room time. 

Do not bring items that tape or stick to the walls. 


"
Moorestown,Birthday Party Booking Policy,A minimum deposit of 50% is required to complete your booking. Deposits for last minute parties (within 7 days) are non-refundable.
Moorestown,All Day Pass Check-in Check-out Policy,"The All-Day Pass provides unlimited jump time; however, you must stay at 
the location to use it continuously. If you check out, you will not be 
allowed to re-enter using the same pass."
Moorestown,"Epic Party Package and Basic Party Package
Maximum Guests and Jumpers Policy","The Epic party package and Basic party package allow up to 50 total guests, 
with a maximum of 30 jumpers included.
"
Moorestown,Mega VIP package Maximum Jumpers Policy,The Mega VIP package allows up to 45 jumpers.
Moorestown,Birthday Party Rescheduling Policy,Parties get 1 free reschedule as long as they notify us more than 7 days in advance. typically if the Guest of Honour is sick we will go ahead and proceed with the reschedule. we charge $200 reschedule fee when guest is just wanting to move the date only due to other reason (e.g guest decided last minute that they couldn't make it. etc.)
Moorestown,Membership cancellation policy,"MEMBERSHIP CANCELLATION CAN BE DONE OVER THE CALL.
THEY CAN CANCEL THE MEMBERSHIP WITHIN 3 BUSINESS DAYS OF BILLING DATE. For guests who request an email confirmation of their membership cancellation, please note that they will automatically receive an email on the final day of their billing cycle. Instead of stating that a charge has been processed, this email will confirm that their membership has been cancelled."
Moorestown,Glow session glow t-shirt policy,"Glow shirts not required — guests can wear neon pink, green, or white (but not orange)."
